scenario_id,scenario_type,target_name,target_col,model_name,forecast_origin,horizon,target_mae,target_rmse,target_smape,raw_capacity_mae,raw_capacity_rmse,raw_capacity_smape,includes_eol,true_eol_cycle,true_rul
pre_01_o182_h10,pre_eol_rolling,capacity_raw,capacity_raw,Persistence,182,10,0.0022495695726881594,0.0024482095083779467,0.0022140459992905626,0.0022495695726881594,0.0024482095083779467,0.0022140459992905626,False,546,364
pre_01_o182_h10,pre_eol_rolling,capacity_raw,capacity_raw,MovingAverage,182,10,0.017962807044007746,0.017988763254732164,0.017820130685902904,0.017962807044007746,0.017988763254732164,0.017820130685902904,False,546,364
pre_01_o182_h10,pre_eol_rolling,capacity_raw,capacity_raw,RidgeRegression,182,10,0.024731585409945057,0.024773742487250807,0.024618154542643614,0.024731585409945057,0.024773742487250807,0.024618154542643614,False,546,364
pre_01_o182_h10,pre_eol_rolling,capacity_raw,capacity_raw,RandomForestRegressor,182,10,0.025846867044804423,0.029119495420709806,0.025821730424001876,0.025846867044804423,0.029119495420709806,0.025821730424001876,False,546,364
pre_01_o182_h10,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,Persistence,182,10,0.010341771359288576,0.011045266946277561,0.01027499578220932,0.016359177701953033,0.01638767407592136,0.01621629860046985,False,546,364
pre_01_o182_h10,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,MovingAverage,182,10,0.01567954521938817,0.016152208064334997,0.015623585624913516,0.021696951562052626,0.021718445469706287,0.02156465400948066,False,546,364
pre_01_o182_h10,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,RidgeRegression,182,10,0.01845678086304241,0.01888270148628677,0.018417737638977284,0.024474187205706866,0.02449777584468486,0.024358652289379532,False,546,364
pre_01_o182_h10,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,RandomForestRegressor,182,10,0.014352017967424312,0.014852128986337164,0.014291323757046179,0.020369424310088768,0.020409746406775994,0.02023245108530916,False,546,364
pre_01_o182_h10,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,Persistence,182,10,0.0023961352785836,0.002708773420284301,0.0023606441493162667,0.0034584484448721754,0.003590826113916764,0.0034061046242669125,False,546,364
pre_01_o182_h10,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,MovingAverage,182,10,0.011128863960936241,0.011200339380134483,0.011014242109416716,0.012191177127224817,0.012229389448452338,0.012059671361513034,False,546,364
