scenario_id,scenario_type,forecast_origin,horizon,rul_lead_horizon,model_family,model_name,capacity_mae,capacity_rmse,capacity_smape,soh_mae,soh_rmse,soh_smape,n
pre_03_o403_h30,pre_eol_rolling,403,30,,baseline,LinearTrend,0.005883102060810319,0.007433601300924115,0.5945444069649463,0.00517686353854625,0.00654123269273073,0.594544406964947,30
pre_03_o403_h30,pre_eol_rolling,403,30,,machine_learning,RandomForestRegressor,0.0061121808751209315,0.007912433342664041,0.61776528526755,0.005378442526807873,0.006962583217054228,0.6177652852675505,30
pre_03_o403_h30,pre_eol_rolling,403,30,,baseline,MovingAverage,0.00906862305444136,0.010756802696770791,0.9185785867042248,0.007979977833138445,0.00946549950972271,0.9185785867042267,30
pre_03_o403_h30,pre_eol_rolling,403,30,,machine_learning,RidgeRegression,0.021830141104392443,0.02438272694805597,2.230930979217054,0.01920953611827754,0.021455696128163705,2.230930979217053,30
pre_04_o515_h10,pre_eol_rolling,515,10,,baseline,MovingAverage,0.026574256367759043,0.05670544415460138,3.0357442942850534,0.02338414282673239,0.04989822431205501,3.0357442942850525,10
pre_04_o515_h10,pre_eol_rolling,515,10,,machine_learning,RidgeRegression,0.027040059885948386,0.056470323793671784,3.0856743764719106,0.023794028840015136,0.04969132903621498,3.0856743764719123,10
pre_04_o515_h10,pre_eol_rolling,515,10,,baseline,LinearTrend,0.02731750009976297,0.057359178097008724,3.1148761001966627,0.024038163670955893,0.05047348059273432,3.1148761001966636,10
pre_04_o515_h10,pre_eol_rolling,515,10,,baseline,Persistence,0.0276793723444441,0.05775330535674453,3.153352219632689,0.024356594867582758,0.05082029474271568,3.153352219632693,10
pre_04_o515_h10,pre_eol_rolling,515,10,,machine_learning,RandomForestRegressor,0.029241492127761136,0.058317884260088874,3.3195565689902526,0.025731189573828896,0.051317098624264056,3.319556568990255,10
pre_04_o515_h20,pre_eol_rolling,515,20,,machine_learning,RidgeRegression,0.01605527525968135,0.040132539909212575,1.8164142992673862,0.014127915551021381,0.035314818682006414,1.8164142992673875,20
pre_04_o515_h20,pre_eol_rolling,515,20,,baseline,MovingAverage,0.018140117737303185,0.040885784396659346,2.040008824057459,0.015962482569314172,0.03597763973837564,2.0400088240574608,20
pre_04_o515_h20,pre_eol_rolling,515,20,,baseline,Persistence,0.01982202387596983,0.04190572181399073,2.219314527293147,0.017442483846620126,0.03687513850225984,2.219314527293152,20
pre_04_o515_h20,pre_eol_rolling,515,20,,baseline,LinearTrend,0.019957274353755366,0.04174539068817441,2.2337576674537667,0.017561498145502147,0.03673405436828539,2.233757667453768,20
pre_04_o515_h20,pre_eol_rolling,515,20,,machine_learning,RandomForestRegressor,0.021631619353676114,0.04260951185288611,2.4119079876187874,0.019034845962936243,0.03749444188226062,2.411907987618788,20
pre_04_o515_h30,pre_eol_rolling,515,30,,machine_learning,RidgeRegression,0.013379675213944564,0.033209983462720104,1.5020065692487616,0.01177350861105413,0.029223282330784407,1.502006569248762,30
pre_04_o515_h30,pre_eol_rolling,515,30,,baseline,MovingAverage,0.01839977498938764,0.035259904577875124,2.0411744823570768,0.016190969198806707,0.03102712013068151,2.04117448235708,30
pre_04_o515_h30,pre_eol_rolling,515,30,,baseline,Persistence,0.02027394451538148,0.036465662325195415,2.241039536642362,0.01784015355493119,0.03208813237454564,2.241039536642366,30
pre_04_o515_h30,pre_eol_rolling,515,30,,baseline,LinearTrend,0.02096037850077603,0.036711001220341107,2.3141438822424285,0.018444184393403232,0.032304019497994926,2.3141438822424294,30
pre_04_o515_h30,pre_eol_rolling,515,30,,machine_learning,RandomForestRegressor,0.022165274071730683,0.03741412331784344,2.442341975290777,0.019504437961088538,0.03292273511980153,2.442341975290776,30
