station_type,site_code,site_name,survey_location,address,agency,major_basin,mid_basin,lat,lon,coord_source
호소,1101G10,광교지,취수탑,취수탑,경기도 보건환경연구원,한강,안성천,37.302144,127.031792,precise
조류참고지점,2001I10,안동댐,예안교,30km 취수탑,대구지방환경청,낙동강,안동댐,36.592636,128.8737,precise
조류참고지점,2001I30,안동댐,댐앞,200m 취수탑,대구지방환경청,낙동강,안동댐,36.592636,128.8737,precise
조류참고지점,2004I20,영주댐,유사조절지,11km 취수탑,대구지방환경청,낙동강,내성천,36.832944,128.693972,precise
조류참고지점,2004I40,영주댐,댐앞,50m 취수탑,대구지방환경청,낙동강,내성천,36.832944,128.693972,precise
조류관찰지점,2007A25,상주보,도남,보 상류 500m,낙동강물환경연구소,낙동강,낙동상주,36.4334,128.2542,precise
조류관찰지점,2009A05,낙단보,낙단,보 상류 500m,낙동강물환경연구소,낙동강,구미보(낙동구미),36.361167,128.307889,precise
조류관찰지점,2009A30,구미보,선산,보 상류 500m,낙동강물환경연구소,낙동강,구미보(낙동구미),36.238806,128.343917,precise
조류관찰지점,2011A25,칠곡보,칠곡,보 상류 500m,낙동강물환경연구소,낙동강,강정고령보(낙동왜관),36.018556,128.397806,precise
조류관찰지점,2011A26,칠곡보,구미광역취수장,상류 2km칠곡보 상류 22km ,낙동강물환경연구소,낙동강,강정고령보(낙동왜관),36.018556,128.397806,precise
조류관찰지점,2011A55,강정고령보,다사,보 상류 500m,낙동강물환경연구소,낙동강,강정고령보(낙동왜관),35.842722,128.456917,precise
조류관찰지점,2011A56,강정고령보,고령광역취수장,상류 2km강정고령보 상류 7km ,낙동강물환경연구소,낙동강,강정고령보(낙동왜관),35.959944666666665,128.41750966666666,inherited
호소,2011G26,낙동강,해평,취수구 2km보 상류 22km,낙동강물환경연구소,낙동강,강정고령보(낙동왜관),35.959944666666665,128.41750966666666,inherited
호소,2011G56,낙동강,강정·고령,상류 2km강정고령보 상류 7km,낙동강물환경연구소,낙동강,강정고령보(낙동왜관),35.959944666666665,128.41750966666666,inherited
호소,2012G20,영천호,취수탑,성곡리,대구지방환경청,낙동강,금호강,36.08005,129.052314,precise
호소,2012G55,공산지,중앙부,,대구시 상수도사업본부,낙동강,금호강,36.1046915,129.001185,inherited
호소,2012G56,공산지,취수탑,,대구시 상수도사업본부,낙동강,금호강,36.1046915,129.001185,inherited
조류참고지점,2012I25,보현산댐,댐앞,400m 취수탑,대구지방환경청,낙동강,금호강,36.129333,128.950056,precise
조류관찰지점,2014A25,달성보,논공,보 상류 500m,낙동강물환경연구소,낙동강,창녕합천보(낙동고령),35.735806,128.414,precise
조류관찰지점,2014A70,합천창녕보,덕곡,보 상류 500m,낙동강물환경연구소,낙동강,창녕합천보(낙동고령),35.593361,128.3555,precise
호소,2018G20,진양호,내동,내동,낙동강유역환경청,낙동강,남강댐,35.154889,127.987528,precise
호소,2018G30,진양호,판문,판문,낙동강유역환경청,낙동강,남강댐,35.154889,127.987528,precise
조류관찰지점,2020A32,창녕함안보,함안,보 상류 500m,낙동강물환경연구소,낙동강,낙동밀양,35.380611,128.548778,precise
조류관찰지점,2020A33,창녕함안보,창원칠서취수장,상류 4km창녕함안보 상류 12km ,낙동강물환경연구소,낙동강,낙동밀양,35.380611,128.548778,inherited
호소,2020G33,낙동강,칠서,상류 4km보 상류 12km,낙동강물환경연구소,낙동강,낙동밀양,35.380611,128.548778,inherited
조류참고지점,2020I37,본포,취수구,0m 이격없음,낙동강유역환경청,낙동강,낙동밀양,35.380611,128.548778,inherited
호소,2021G10,운문호,취수탑2,대천리,대구지방환경청,낙동강,밀양강,35.72155,128.919058,precise
호소,2021G20,운문호,댐앞,댐앞,대구지방환경청,낙동강,밀양강,35.72155,128.919058,precise
호소,2022G05,낙동강,물금·매리,취수구3km,낙동강물환경연구소,낙동강,낙동강하구언,35.90899091428571,128.72437325714284,coarse
조류참고지점,2022I20,하굿둑,우안,,낙동강유역환경청,낙동강,낙동강남해,35.90899091428571,128.72437325714284,coarse
조류참고지점,2022I30,하굿둑,좌안,,낙동강유역환경청,낙동강,낙동강하구언,35.90899091428571,128.72437325714284,coarse
호소,2101G30,안계호,취수탑,취수탑,대구지방환경청,낙동강,형산강,36.010219,129.267744,precise
호소,2101G31,덕동호,댐앞,보문취수탑,낙동강물환경연구소,낙동강,형산강,36.010219,129.267744,inherited
호소,2101G70,진전지,상류,상류,경상북도 보건환경연구원,낙동강,형산강,36.010219,129.267744,inherited
호소,2101G71,진전지,하류,하류,경상북도 보건환경연구원,낙동강,형산강,36.010219,129.267744,inherited
호소,2201G30,사연호,반연리,반연리,낙동강유역환경청,낙동강,태화강,35.580556,129.194778,precise
호소,2201G40,사연호,취수탑,취수탑,낙동강유역환경청,낙동강,태화강,35.580556,129.194778,precise
호소,2301G10,회야호,여수로,여수로,울산시 상수도사업본부,낙동강,회야강,35.472619,129.2818,precise
호소,2301G20,회야호,취수탑,취수탑,울산시 상수도사업본부,낙동강,회야강,35.472619,129.2818,precise
호소,3001G10,용담호,항동리,항동리,새만금지방환경청,금강,용담댐,35.881031,127.516456,precise
호소,3001G11,용담호,모정리,모정리,새만금지방환경청,금강,용담댐,35.881031,127.516456,precise
호소,3001G20,용담호,취수탑,취수탑,새만금지방환경청,금강,용담댐,35.881031,127.516456,precise
호소,3001G40,용담호,댐앞,댐앞,새만금지방환경청,금강,용담댐,35.881031,127.516456,precise
호소,3008G30,대청호,회남,회남대교,금강물환경연구소,금강,대청댐,36.433111,127.552583,precise
호소,3008G40,대청호,추동,추동,금강물환경연구소,금강,대청댐,36.433111,127.552583,precise
호소,3008G50,대청호,문의,청주취수장,금강물환경연구소,금강,대청댐,36.433111,127.552583,precise
조류참고지점,3008I10,대청호,장계,상류 본류,금강물환경연구소,금강,대청댐,36.433111,127.552583,precise
조류참고지점,3008I20,대청호,추소,상류 만입부 소옥천유입,금강물환경연구소,금강,대청댐,36.433111,127.552583,precise
조류참고지점,3008I60,대청호,댐앞,하류 본류,금강물환경연구소,금강,대청댐,36.433111,127.552583,precise
조류관찰지점,3012A07,세종보,연기,보 상류 500m,금강물환경연구소,금강,금강공주,36.477972,127.270944,precise
조류관찰지점,3012A32,공주보,금강,보 상류 500m,금강물환경연구소,금강,금강공주,36.464639,127.100028,precise
조류관찰지점,3012A42,백제보,부여,보 상류 500m,금강물환경연구소,금강,금강공주,36.322083,126.944417,precise
호소,3203G20,보령호,취수탑,취수탑,금강물환경연구소,금강,금강서해,36.241472,126.655944,precise
호소,4002G10,옥정호,칠보취수구,칠보취수구,새만금지방환경청,영산강,섬진강댐,35.541556,127.108278,precise
호소,4002G11,섬진강댐,사승나루터앞,사승나루터앞,새만금지방환경청,영산강,섬진강댐,35.541556,127.108278,precise
호소,4002G12,섬진강댐,운암도선장,운암도선장,새만금지방환경청,영산강,섬진강댐,35.541556,127.108278,precise
호소,4007G40,주암호,신평교,신평교,영산강물환경연구소,영산강,주암댐,34.969528,127.183111,precise
호소,4007G50,동복호,중류,중류,광주시 상수도사업본부,영산강,주암댐,35.0923,127.098789,precise
호소,4007G60,동복호,취수탑,취수탑,광주시 상수도사업본부,영산강,주암댐,35.0923,127.098789,precise
호소,4007G70,주암호,댐앞,댐앞,영산강물환경연구소,영산강,주암댐,34.969528,127.183111,precise
조류관찰지점,5004A10,승촌보,광산,보 상류 500m,영산강물환경연구소,영산강,영산강중류(죽산보),35.070528,126.776136,precise
조류관찰지점,5004A35,죽산보,죽산,보 상류 500m,영산강물환경연구소,영산강,영산강중류(죽산보),34.976667,126.632778,precise
호소,5101G35,탐진호,댐앞,댐앞,영산강물환경연구소,영산강,탐진강,35.199502111111116,127.03306088888888,coarse
호소,5101G40,탐진호,유치천 합류,유치천 합류,영산강물환경연구소,영산강,탐진강,35.199502111111116,127.03306088888888,coarse
